aaa,whois.nic.aaa
ac,whois.nic.ac
academy,whois.nic.academy
accountant,whois.nic.accountant
accountants,whois.nic.accountants
actor,whois.nic.actor
adult,whois.nic.adult
aero,whois.aero
af,whois.nic.af
ag,whois.nic.ag
agency,whois.nic.agency
ai,whois.nic.ai
airforce,whois.nic.airforce
al,whois.ai
amsterdam,whois.nic.amsterdam
apartments,whois.nic.apartments
app,whois.nic.google
archi,whois.afilias.net
army,whois.nic.army
asia,whois.nic.asia
associates,whois.nic.associates
attorney,whois.nic.attorney
au,whois.auda.org.au
auction,whois.nic.auction
auto,whois.nic.auto
autos,whois.nic.autos
band,whois.nic.band
bargains,whois.nic.bargains
beer,whois.nic.beer
berlin,whois.nic.berlin
best,whois.nic.best
bet,whois.afilias.net
bid,whois.nic.bid
bike,whois.nic.bike
bingo,whois.nic.bingo
bio,whois.afilias.net
biz,whois.biz
bj,whois.nic.bj
black,whois.afilias.net
blog,whois.nic.blog
blue,whois.afilias.net
bo,whois.nic.bo
boston,whois.nic.boston
boutique,whois.nic.boutique
br,whois.registro.br
builders,whois.nic.builders
business,whois.nic.business
buzz,whois.nic.buzz
bz,bzwhois.verisign-grs.co
ca,whois.cira.ca
cab,whois.nic.cab
cafe,whois.nic.cafe
camera,whois.nic.camera
camp,whois.nic.camp
capetown,whois.nic.capetown
capital,whois.nic.capital
car,whois.nic.car
cards,whois.nic.cards
care,whois.nic.care
careers,whois.nic.careers
cars,whois.nic.cars
casa,whois.nic.casa
cash,whois.nic.cash
casino,whois.nic.casino
catering,whois.nic.catering
center,whois.nic.center
ch,whois.nic.ch
charity,whois.nic.charity
chat,whois.nic.chat
cheap,whois.nic.cheap
church,whois.nic.church
ci,whois.nic.ci
city,whois.nic.city
claims,whois.nic.claims
cleaning,whois.nic.cleaning
clinic,whois.nic.clinic
clothing,whois.nic.clothing
cloud,whois.nic.cloud
club,whois.nic.club
cn,whois.cnnic.net.cn
co,whois.nic.co
co.za,coza-whois.registry.net.za
coach,whois.nic.coach
codes,whois.nic.codes
coffee,whois.nic.coffee
community,whois.nic.community
company,whois.nic.company
computer,whois.nic.computer
condos,whois.nic.condos
construction,whois.nic.construction
consulting,whois.nic.consulting
contractors,whois.nic.contractors
cooking,whois.nic.cooking
cool,whois.nic.cool
coop,whois.nic.coop
country,whois.uniregistry.net
coupons,whois.nic.coupons
credit,whois.nic.credit
creditcard,whois.nic.creditcard
cricket,whois.nic.cricket
cruises,whois.nic.cruises
cx,whois.nic.cx
cymru,whois.nic.cymru
cz,whois.nic.cz
dance,whois.nic.dance
date,whois.nic.date
dating,whois.nic.dating
deals,whois.nic.deals
degree,whois.nic.degree
delivery,whois.nic.delivery
democrat,whois.nic.democrat
dental,whois.nic.dental
dentist,whois.nic.dentist
dev,whois.nic.google
diamonds,whois.nic.diamonds
digital,whois.nic.digital
direct,whois.nic.direct
directory,whois.nic.directory
discount,whois.nic.discount
doctor,whois.nic.doctor
dog,whois.nic.dog
domains,whois.nic.domains
download,whois.nic.download
durban,whois.nic.durban
earth,whois.nic.earth
education,whois.nic.education
ee,whois.eenet.ee
email,whois.nic.email
energy,whois.nic.energy
